"","iso3","yearmon","lnFatalities","year","month","OCoDi","HGI4","Vader","Wordscores","Wordfish","ConfliBERT","CAMEO","FI_Score"
"1","AFG","2003-08",2.44456707793249,2003,8,3.2499229304158,0.150408847112631,-1.01313450822228,1.34674745417649,-1.43631785231845,2.78829780863016,-1.67330333948283,0.30687471332226
"2","AFG","2003-09",1.94561171041828,2003,9,2.5585436560132,-1.15313448975529,-1.51173539478495,1.30990739047366,-1.01963980434503,2.53587259472054,-0.436977305215261,0.241591067779901
"3","AFG","2003-10",2.23020214013269,2003,10,1.94062357753859,0.150408847112631,0.564206266373554,1.26685881979833,-0.556233897949482,2.55532464758863,-0.373029406891076,0.183243823553496
"4","AFG","2003-11",1.7135341818122,2003,11,1.02395686106627,-0.406988650853201,-1.47034152419,1.29468455895079,-0.318361318862171,2.11130726685136,0.106579830540307,0.0966873599534465
"5","AFG","2003-12",1.81191327504505,2003,12,1.51228418548024,-0.557968310065437,-1.52594989374398,1.27708462285379,-0.628633746356749,2.07133991199922,-2.34475627188676,0.14279777884507
"6","AFG","2004-01",1.83957901399294,2004,1,2.69278877856718,-2.36696025658061,-1.54485049126092,1.37107841061691,-1.31975597068153,1.89197663446063,-0.532899152701537,0.254267194069885
"7","AFG","2004-02",1.34566926445443,2004,2,1.99923267877345,-1.72970170889333,-1.46018831064784,1.30717087550194,-0.813968124238713,2.57744567033421,-0.746058813782152,0.188778001293896
"8","AFG","2004-03",1.65526202562481,2004,3,2.30471782793226,-0.741300752239125,-1.54094540912932,1.33485198395527,-1.18792492419572,2.21804970337015,-0.799348729052306,0.217623506119552
"9","AFG","2004-04",1.81191327504505,2004,4,1.87731353852663,-0.768756320402287,-1.38396110743901,1.32166417489661,-1.5185979288203,3.40332749938161,-2.48863904311618,0.177265758692207
"10","AFG","2004-05",1.97127133217298,2004,5,2.26650819304418,-1.01747159720737,-1.52626230031451,1.3151912386243,-0.706174643688739,2.66999847455706,0.106579830540307,0.214015552637735
"11","AFG","2004-06",2.21712348196615,2004,6,3.65323674581899,-1.42446023609032,-1.54469428797566,1.40001058796916,-1.6507944650738,2.93648016543328,-2.13159661080615,0.344957712252
"12","AFG","2004-07",2.02835124797955,2004,7,2.07107755040473,0.384378170878314,-1.27711806031843,1.29604923694225,-0.537851732296083,1.6407942622578,-0.319739491620922,0.195561969670248
"13","AFG","2004-08",2.24417662922792,2004,8,3.48575304781092,-1.15313450622864,1.44581760840355,1.37382464874339,-1.64286185585129,3.25927072973776,-2.66449576350769,0.329143025900098
"14","AFG","2004-09",2.2802853864767,2004,9,2.12510337907114,-1.57245612579716,-1.53985198613247,1.38430351159964,-1.21676678675105,1.71841273764662,-1.06579830540307,0.200663370853901
"15","AFG","2004-10",2.01009127568492,2004,10,2.21216671621536,-0.73381286982372,-1.52298203132396,1.32018326799099,-0.857415487851216,1.74556962341587,0.319739491620922,0.208884346304416
"16","AFG","2004-11",1.74014540249661,2004,11,1.88231997992702,0.266107951376263,-0.596384143137937,1.33265873785249,-0.522987123986596,1.73154990928129,0.373029406891076,0.177738493062345
"17","AFG","2004-12",1.66837752994818,2004,12,1.98613719877814,0,-1.21573016920968,1.29937149834906,-0.802087356095465,1.59171640921796,-0.106579830540307,0.187541457611039
"18","AFG","2005-01",1.69354958530026,2005,1,2.7387430784312,-0.34594034610292,-1.53875856313563,1.30985325461988,-0.796394635094366,2.19871902061731,0.0532899152701537,0.258606439306969
"19","AFG","2005-02",1.5168707484992,2005,2,0.932458579628577,1.07360798732367,-0.426747375341237,1.27159066417742,0.582581251747516,2.28091625689525,0.42631932216123,0.0880476138773516
"20","AFG","2005-03",1.70564298248581,2005,3,2.01861060873881,0.203494319441473,-1.51360983420812,1.34478100178439,-0.651904238511271,1.36587230594146,0.319739491620922,0.190607766746868
"21","AFG","2005-04",2.21312715172666,2005,4,3.00285993977541,-1.08724111105006,-1.55094241938622,1.37862893879988,-1.41734830263407,2.40121391766792,-3.73029406891076,0.283545734128403
"22","AFG","2005-05",2.34201904273071,2005,5,3.09605905434702,-2.22390225671737,-1.55828397379363,1.37991544874848,-1.76175641904643,2.72791119249387,-0.532899152701537,0.292346081760767
"23","AFG","2005-06",2.61668786316046,2005,6,2.72457635132495,-1.8869473509566,-1.53219802515454,1.37668191343937,-1.41421348618667,2.97475162211459,-1.07645628845711,0.257268742871537
"24","AFG","2005-07",2.52363638881165,2005,7,3.44370534644146,-1.72970174492878,-1.54984899638937,1.41983451805116,-1.53140036575927,2.39241739869143,-2.23817644134646,0.325172662116129
"25","AFG","2005-08",2.62504660858513,2005,8,2.64790056993279,-0.910369329454081,-1.53766514013878,1.35269303552319,-0.881516694857593,1.90546583806245,-1.70527728864492,0.250028614740108
"26","AFG","2005-09",2.45732980603254,2005,9,2.14919161638097,-0.28049217895962,-1.54641252411356,1.32534670066418,-0.518941436877623,1.93600238316186,-0.319739491620922,0.202937908151297
"27","AFG","2005-10",2.49386380576569,2005,10,3.37838130972038,-0.943473675478298,-1.53953957956195,1.38338306192611,-1.5540307906195,2.36659142125365,-2.23817644134646,0.319004425062191
"28","AFG","2005-11",2.01097723145043,2005,11,1.72249371168119,-0.768756320402287,-1.53438487114823,1.27481484472032,0.23507911995374,1.62147923449085,-2.77107559404799,0.162646861260779
"29","AFG","2005-12",2.0675803036569,2005,12,1.54187196488729,1.38376131522362,1.43972568027825,1.24035227045357,0.197949160957906,1.28123588214434,0,0.145591611658274
